epoch,validation_loss,batch_size,learning_rate,unfreeze_option,weight_decay
1,1.9117206139298828,32,0.002,last_two,0.001
2,1.9218617321109492,32,0.002,last_two,0.001
3,1.9164518180830388,32,0.002,last_two,0.001
4,1.9019524680554343,32,0.002,last_two,0.001
5,1.8862881202501984,32,0.002,last_two,0.001
6,1.8760986967869868,32,0.002,last_two,0.001
7,1.8836849613273599,32,0.002,last_two,0.001
8,1.898524181234522,32,0.002,last_two,0.001
9,1.8793219841820055,32,0.002,last_two,0.001
10,1.8731005191802979,32,0.002,last_two,0.001
11,1.8727187946045503,32,0.002,last_two,0.001
12,1.8728361640158286,32,0.002,last_two,0.001
13,1.8825606128687034,32,0.002,last_two,0.001
14,1.8858548720910753,32,0.002,last_two,0.001
15,1.86626317808705,32,0.002,last_two,0.001
1,1.9943244443261379,32,0.002,last_two,0.005
2,1.9298134322040592,32,0.002,last_two,0.005
3,1.9037449073232164,32,0.002,last_two,0.005
4,1.9316357695811655,32,0.002,last_two,0.005
5,1.9079318549975621,32,0.002,last_two,0.005
6,1.921871135311742,32,0.002,last_two,0.005
7,1.9095444871533302,32,0.002,last_two,0.005
8,1.9022431534406377,32,0.002,last_two,0.005
9,1.902531869949833,32,0.002,last_two,0.005
10,1.9124441853017051,32,0.002,last_two,0.005
11,1.8997267981078967,32,0.002,last_two,0.005
12,1.9063615708057482,32,0.002,last_two,0.005
13,1.9304723715152907,32,0.002,last_two,0.005
14,1.89031790323621,32,0.002,last_two,0.005
15,1.894298753081179,32,0.002,last_two,0.005
1,1.942690837418229,32,0.002,last_two,0.01
2,1.9470248764211482,32,0.002,last_two,0.01
3,2.015848749543914,32,0.002,last_two,0.01
4,1.954356748687207,32,0.002,last_two,0.01
5,1.913475634065891,32,0.002,last_two,0.01
6,1.9131223791855172,32,0.002,last_two,0.01
7,1.9187541056937836,32,0.002,last_two,0.01
8,1.9167069374990604,32,0.002,last_two,0.01
9,1.9183190921184954,32,0.002,last_two,0.01
10,1.923079865069683,32,0.002,last_two,0.01
11,1.9219330405909294,32,0.002,last_two,0.01
12,1.9191839212546251,32,0.002,last_two,0.01
1,2.158067373935778,32,0.002,last_three,0.001
2,1.9262470363521855,32,0.002,last_three,0.001
3,1.9241235976345028,32,0.002,last_three,0.001
4,1.9257965059923636,32,0.002,last_three,0.001
5,1.9224074694418138,32,0.002,last_three,0.001
6,1.9208992132343505,32,0.002,last_three,0.001
7,1.9361025493515551,32,0.002,last_three,0.001
8,1.9176616556833217,32,0.002,last_three,0.001
9,1.926807919904983,32,0.002,last_three,0.001
10,1.912787029120929,32,0.002,last_three,0.001
11,1.9213764076708348,32,0.002,last_three,0.001
12,1.910090729637929,32,0.002,last_three,0.001
13,1.9135267752006957,32,0.002,last_three,0.001
14,2.3667153815719737,32,0.002,last_three,0.001
15,1.9071257187823747,32,0.002,last_three,0.001
1,1.9360198107632725,32,0.002,last_three,0.005
2,1.917922994608054,32,0.002,last_three,0.005
3,1.9163743921738565,32,0.002,last_three,0.005
4,1.9161537913632882,32,0.002,last_three,0.005
5,1.9154778600088662,32,0.002,last_three,0.005
6,1.9395855144321743,32,0.002,last_three,0.005
7,1.9228416160404507,32,0.002,last_three,0.005
8,1.9232194598469217,32,0.002,last_three,0.005
9,1.9190327208762294,32,0.002,last_three,0.005
10,1.919457816658132,32,0.002,last_three,0.005
11,1.9173027818853206,32,0.002,last_three,0.005
1,1.9418826312962865,32,0.002,last_three,0.01
2,1.9409898652359188,32,0.002,last_three,0.01
3,1.942020589655096,32,0.002,last_three,0.01
4,1.9414766589917045,32,0.002,last_three,0.01
5,1.9417732954025269,32,0.002,last_three,0.01
6,1.9418632361895878,32,0.002,last_three,0.01
7,1.9418135874432203,32,0.002,last_three,0.01
8,1.9419095194584464,32,0.002,last_three,0.01
1,2.0535892884402682,32,0.001,last_two,0.001
2,1.9128441174358917,32,0.001,last_two,0.001
3,1.912470955652925,32,0.001,last_two,0.001
4,1.8829834649989332,32,0.001,last_two,0.001
5,1.8793823463825885,32,0.001,last_two,0.001
6,1.890074346072513,32,0.001,last_two,0.001
7,1.8697283743413662,32,0.001,last_two,0.001
8,1.8673949213671195,32,0.001,last_two,0.001
9,1.8628945063985338,32,0.001,last_two,0.001
10,1.8833644931966609,32,0.001,last_two,0.001
11,1.862206604823339,32,0.001,last_two,0.001
12,1.8804704880784333,32,0.001,last_two,0.001
13,1.8880449250296762,32,0.001,last_two,0.001
14,1.8601689548436497,32,0.001,last_two,0.001
15,1.8921172734229796,32,0.001,last_two,0.001
1,1.9584557248000876,32,0.001,last_two,0.005
2,2.031826145488146,32,0.001,last_two,0.005
3,1.892350184253234,32,0.001,last_two,0.005
4,1.892279716530853,32,0.001,last_two,0.005
5,1.9764065588674238,32,0.001,last_two,0.005
6,1.9156930551500964,32,0.001,last_two,0.005
7,1.8901668458390446,32,0.001,last_two,0.005
8,1.8867555276389696,32,0.001,last_two,0.005
9,1.8908480035244895,32,0.001,last_two,0.005
10,1.8918544511990814,32,0.001,last_two,0.005
11,1.9012945652707232,32,0.001,last_two,0.005
12,1.895260369323216,32,0.001,last_two,0.005
13,1.885936290637489,32,0.001,last_two,0.005
14,1.8860832022781595,32,0.001,last_two,0.005
15,1.8869496049069938,32,0.001,last_two,0.005
1,1.9497057479148037,32,0.001,last_two,0.01
2,1.936117357172924,32,0.001,last_two,0.01
3,1.895990870215676,32,0.001,last_two,0.01
4,1.8873224583539097,32,0.001,last_two,0.01
5,1.905643812722125,32,0.001,last_two,0.01
6,1.8975874468727896,32,0.001,last_two,0.01
7,1.970186250300701,32,0.001,last_two,0.01
8,1.904414262589821,32,0.001,last_two,0.01
9,1.894679891398925,32,0.001,last_two,0.01
10,1.8881603322071063,32,0.001,last_two,0.01
1,4.595480431559499,32,0.001,last_three,0.001
2,1.939897403689074,32,0.001,last_three,0.001
3,1.9078000567176125,32,0.001,last_three,0.001
4,1.9103224969679309,32,0.001,last_three,0.001
5,1.896831996979252,32,0.001,last_three,0.001
6,1.9105794629043849,32,0.001,last_three,0.001
7,1.8887259453272889,32,0.001,last_three,0.001
8,1.9010552936984646,32,0.001,last_three,0.001
9,1.9087764832281298,32,0.001,last_three,0.001
10,1.9057441981307224,32,0.001,last_three,0.001
11,1.9060194184703212,32,0.001,last_three,0.001
12,1.9080870151519775,32,0.001,last_three,0.001
13,1.8958541357622118,32,0.001,last_three,0.001
1,1.9863500294447645,32,0.001,last_three,0.005
2,1.9443267517425447,32,0.001,last_three,0.005
3,1.9158302454654772,32,0.001,last_three,0.005
4,2.0275575726612574,32,0.001,last_three,0.005
5,1.9232310525133463,32,0.001,last_three,0.005
6,1.9060933173926344,32,0.001,last_three,0.005
7,1.9253183131343807,32,0.001,last_three,0.005
8,1.907628874624929,32,0.001,last_three,0.005
9,1.9017501901671334,32,0.001,last_three,0.005
10,1.9191305109482706,32,0.001,last_three,0.005
11,1.9209374154418095,32,0.001,last_three,0.005
12,2.4161470289454083,32,0.001,last_three,0.005
13,1.9017313152464255,32,0.001,last_three,0.005
