epoch,validation_loss,batch_size,learning_rate,unfreeze_option,weight_decay,augument
1,1.9329246952727035,32,0.001,last_two,0.0005,False
2,1.9192400123621967,32,0.001,last_two,0.0005,False
3,1.8957445679484186,32,0.001,last_two,0.0005,False
4,1.9232906950486672,32,0.001,last_two,0.0005,False
5,1.8811754626196784,32,0.001,last_two,0.0005,False
6,1.8751243397996233,32,0.001,last_two,0.0005,False
7,1.9097517790021123,32,0.001,last_two,0.0005,False
8,1.8732122514698957,32,0.001,last_two,0.0005,False
9,1.8702086393897597,32,0.001,last_two,0.0005,False
10,1.872099707899867,32,0.001,last_two,0.0005,False
11,1.8705995108630207,32,0.001,last_two,0.0005,False
12,1.8668760631535504,32,0.001,last_two,0.0005,False
13,1.8747892386204488,32,0.001,last_two,0.0005,False
14,1.8815828117164406,32,0.001,last_two,0.0005,False
15,1.9113513028299487,32,0.001,last_two,0.0005,False
1,1.9542986225437473,32,0.001,last_two,0.0005,True
2,1.9078341896469528,32,0.001,last_two,0.0005,True
3,1.922600307657912,32,0.001,last_two,0.0005,True
4,1.932839586928084,32,0.001,last_two,0.0005,True
5,1.8948689025801582,32,0.001,last_two,0.0005,True
6,1.9516519085780994,32,0.001,last_two,0.0005,True
7,1.896521212925782,32,0.001,last_two,0.0005,True
8,1.907021419744234,32,0.001,last_two,0.0005,True
9,1.8948531714645591,32,0.001,last_two,0.0005,True
10,1.899640662605698,32,0.001,last_two,0.0005,True
11,1.904165470277941,32,0.001,last_two,0.0005,True
12,1.9098349577671774,32,0.001,last_two,0.0005,True
13,1.9017489723257117,32,0.001,last_two,0.0005,True
14,1.900334537673641,32,0.001,last_two,0.0005,True
15,1.8996617436408996,32,0.001,last_two,0.0005,True
1,1.9829796307795757,32,0.001,last_two,0.001,False
2,1.9068434399527472,32,0.001,last_two,0.001,False
3,1.9033878216872344,32,0.001,last_two,0.001,False
4,1.970816068069355,32,0.001,last_two,0.001,False
5,1.8828279034511464,32,0.001,last_two,0.001,False
6,1.8758874751426078,32,0.001,last_two,0.001,False
7,1.8853305797319155,32,0.001,last_two,0.001,False
8,1.874015986919403,32,0.001,last_two,0.001,False
9,1.8949787304208086,32,0.001,last_two,0.001,False
10,1.8911436760747755,32,0.001,last_two,0.001,False
11,1.8828301729382695,32,0.001,last_two,0.001,False
12,1.8646052441081484,32,0.001,last_two,0.001,False
13,1.873106785722681,32,0.001,last_two,0.001,False
14,1.867758465457607,32,0.001,last_two,0.001,False
15,1.8725138216405302,32,0.001,last_two,0.001,False
1,2.0021288114625055,32,0.001,last_two,0.001,True
2,1.9118350402728932,32,0.001,last_two,0.001,True
3,1.913971026523693,32,0.001,last_two,0.001,True
4,1.899676514638437,32,0.001,last_two,0.001,True
5,1.9161426866376723,32,0.001,last_two,0.001,True
6,1.9021446102374309,32,0.001,last_two,0.001,True
7,1.9228398161965448,32,0.001,last_two,0.001,True
8,1.9107798917873486,32,0.001,last_two,0.001,True
9,1.9033864253276103,32,0.001,last_two,0.001,True
10,1.8989327933337237,32,0.001,last_two,0.001,True
11,1.8921798796267122,32,0.001,last_two,0.001,True
12,1.8899977013871476,32,0.001,last_two,0.001,True
13,1.8897075859276025,32,0.001,last_two,0.001,True
14,1.8902118814958109,32,0.001,last_two,0.001,True
15,1.9194188946002237,32,0.001,last_two,0.001,True
1,1.9719863066802155,32,0.001,last_two,0.0025,False
2,1.932507051326133,32,0.001,last_two,0.0025,False
3,1.912746513856424,32,0.001,last_two,0.0025,False
4,1.8962958506635716,32,0.001,last_two,0.0025,False
5,1.892462640839654,32,0.001,last_two,0.0025,False
6,1.9008744017497914,32,0.001,last_two,0.0025,False
7,1.8913168117806718,32,0.001,last_two,0.0025,False
8,1.8785664155676558,32,0.001,last_two,0.0025,False
9,1.9211581987303656,32,0.001,last_two,0.0025,False
10,1.8850858401607822,32,0.001,last_two,0.0025,False
11,1.8945381583394232,32,0.001,last_two,0.0025,False
12,1.8802827258367796,32,0.001,last_two,0.0025,False
13,1.87984762836147,32,0.001,last_two,0.0025,False
14,1.8768903825734113,32,0.001,last_two,0.0025,False
15,1.8722293840872275,32,0.001,last_two,0.0025,False
1,2.0289492323591904,32,0.001,last_two,0.0025,True
2,2.019167169364723,32,0.001,last_two,0.0025,True
3,1.9470514255601006,32,0.001,last_two,0.0025,True
4,1.916979453370378,32,0.001,last_two,0.0025,True
5,1.905145850374892,32,0.001,last_two,0.0025,True
6,1.9251879640527674,32,0.001,last_two,0.0025,True
7,1.9009813962755977,32,0.001,last_two,0.0025,True
8,1.9154266425081201,32,0.001,last_two,0.0025,True
9,1.9063221702704558,32,0.001,last_two,0.0025,True
10,1.9028590012241053,32,0.001,last_two,0.0025,True
11,1.9037400532413173,32,0.001,last_two,0.0025,True
12,1.8986314074413198,32,0.001,last_two,0.0025,True
